"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","356","testCreateUser_with_job","Reqres API Suite","Fri Aug 29 07:46:01 UTC 2025","passed","Fri Aug 29 07:46:02 UTC 2025","tests.UserApiTest","API Tests","tests.UserApiTest","testCreateUser_with_job"
"","534","testDeleteUser","Reqres API Suite","Fri Aug 29 07:46:05 UTC 2025","passed","Fri Aug 29 07:46:06 UTC 2025","tests.UserTest","API Tests","tests.UserTest","testDeleteUser"
"","2595","testCreateUser_valid","Reqres API Suite","Fri Aug 29 07:45:58 UTC 2025","passed","Fri Aug 29 07:46:01 UTC 2025","tests.UserApiTest","API Tests","tests.UserApiTest","testCreateUser_valid"
"","390","testCreateUserWithJsonData","Reqres API Suite","Fri Aug 29 07:46:04 UTC 2025","passed","Fri Aug 29 07:46:04 UTC 2025","tests.UserDataProviderJsonTest","API Tests","tests.UserDataProviderJsonTest","testCreateUserWithJsonData"
"","394","testUnsuccessfulLogin","Reqres API Suite","Fri Aug 29 07:46:07 UTC 2025","passed","Fri Aug 29 07:46:07 UTC 2025","tests.LoginTest","API Tests","tests.LoginTest","testUnsuccessfulLogin"
"","363","testCreateUserWithJsonData","Reqres API Suite","Fri Aug 29 07:46:03 UTC 2025","passed","Fri Aug 29 07:46:03 UTC 2025","tests.UserDataProviderJsonTest","API Tests","tests.UserDataProviderJsonTest","testCreateUserWithJsonData"
"","352","testCreateUserWithJsonData","Reqres API Suite","Fri Aug 29 07:46:03 UTC 2025","passed","Fri Aug 29 07:46:03 UTC 2025","tests.UserDataProviderJsonTest","API Tests","tests.UserDataProviderJsonTest","testCreateUserWithJsonData"
"","330","testCreateUser","Reqres API Suite","Fri Aug 29 07:46:04 UTC 2025","passed","Fri Aug 29 07:46:05 UTC 2025","tests.UserTest","API Tests","tests.UserTest","testCreateUser"
"","430","testUpdateUser","Reqres API Suite","Fri Aug 29 07:46:02 UTC 2025","passed","Fri Aug 29 07:46:02 UTC 2025","tests.UserApiTest","API Tests","tests.UserApiTest","testUpdateUser"
"","544","testDeleteUser","Reqres API Suite","Fri Aug 29 07:46:02 UTC 2025","passed","Fri Aug 29 07:46:03 UTC 2025","tests.UserApiTest","API Tests","tests.UserApiTest","testDeleteUser"
"","2","testGetUser","Reqres API Suite","Fri Aug 29 07:45:58 UTC 2025","unknown","Fri Aug 29 07:45:58 UTC 2025","tests.UserApiTest","API Tests","tests.UserApiTest","testGetUser"
"","370","testCreateUserWithJsonData","Reqres API Suite","Fri Aug 29 07:46:04 UTC 2025","passed","Fri Aug 29 07:46:04 UTC 2025","tests.UserDataProviderJsonTest","API Tests","tests.UserDataProviderJsonTest","testCreateUserWithJsonData"
"","332","testCreateUserWithMultipleData","Reqres API Suite","Fri Aug 29 07:46:06 UTC 2025","passed","Fri Aug 29 07:46:06 UTC 2025","tests.UserDataProviderTest","API Tests","tests.UserDataProviderTest","testCreateUserWithMultipleData"
"","201","testCreateUserWithMultipleData","Reqres API Suite","Fri Aug 29 07:46:06 UTC 2025","passed","Fri Aug 29 07:46:06 UTC 2025","tests.UserDataProviderTest","API Tests","tests.UserDataProviderTest","testCreateUserWithMultipleData"
"","357","testCreateUserWithJsonData","Reqres API Suite","Fri Aug 29 07:46:03 UTC 2025","passed","Fri Aug 29 07:46:04 UTC 2025","tests.UserDataProviderJsonTest","API Tests","tests.UserDataProviderJsonTest","testCreateUserWithJsonData"
"","0","testGetUser","Reqres API Suite","Fri Aug 29 07:45:58 UTC 2025","unknown","Fri Aug 29 07:45:58 UTC 2025","tests.UserTest","API Tests","tests.UserTest","testGetUser"
"","355","testSuccessfulLogin","Reqres API Suite","Fri Aug 29 07:46:06 UTC 2025","passed","Fri Aug 29 07:46:07 UTC 2025","tests.LoginTest","API Tests","tests.LoginTest","testSuccessfulLogin"
"","332","testCreateUserWithMultipleData","Reqres API Suite","Fri Aug 29 07:46:06 UTC 2025","passed","Fri Aug 29 07:46:06 UTC 2025","tests.UserDataProviderTest","API Tests","tests.UserDataProviderTest","testCreateUserWithMultipleData"
"","328","testUpdateUser","Reqres API Suite","Fri Aug 29 07:46:05 UTC 2025","passed","Fri Aug 29 07:46:05 UTC 2025","tests.UserTest","API Tests","tests.UserTest","testUpdateUser"
"","401","testCreateUser_with_name","Reqres API Suite","Fri Aug 29 07:46:01 UTC 2025","passed","Fri Aug 29 07:46:01 UTC 2025","tests.UserApiTest","API Tests","tests.UserApiTest","testCreateUser_with_name"
